id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url,duracao,Mean_l,Q0.05,Q0.1,Q0.15,Q0.2,Q0.25,Q0.3,Q0.35,Q0.4,Q0.45,Q0.5,Q0.55,Q0.6,Q0.65,Q0.7,Q0.75,Q0.8,Q0.85,Q0.9,Q0.95,Mediana_r,Mean_r
PXDE16ZK9Hg,Minecraft! Ep 7,2014-05-21T22:38:50Z,Ice Golem e mudanças!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,21,2,0,0,https://www.youtube.com/watch?v=PXDE16ZK9Hg,570.29,-0.04669599687643203,-2631,-1495,-927,-641,-442,-330,-209,-164,-66,30,67,123,261,321,475,628,971,1538,2631,NA,NA
72D9UKdVnlc,GTA IV! Minhas primeiras edições!!!,2014-07-23T16:55:31Z,Este video foi gravado antes da minha camera quebrar,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,48,3,0,NA,https://www.youtube.com/watch?v=72D9UKdVnlc,856.13,0.01326904388128878,-1671,-797,-398,-209,-102,-10,0,0,0,0,0,0,0,32,81,197,408,808,1686,0,0.033997690765866784
Y3An2AAcwJ4,GTA IV! O novo Super Man!!!!,2014-07-24T01:26:25Z,ATENÇÃO este video foi gravado antes da minha camera quebrer!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,28,3,0,1,https://www.youtube.com/watch?v=Y3An2AAcwJ4,521.78,-0.00835990084019441,-3331,-1879,-1156,-737,-478,-329,-202,-153,-43,32,61,97,222,321,502,754,1167,1894,3355,32,-0.008373476061614257
k3Q7-wi3TzE,GTA V! Ep 1,2014-08-02T18:23:43Z,O pior pulador de paraquedas do mundo!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,20,2,0,0,https://www.youtube.com/watch?v=k3Q7-wi3TzE,887.11,0.05127138211785359,-7221,-4230,-2742,-1898,-1373,-1001,-708,-457,-228,-10,207,435,685,978,1349,1878,2741,4285,7369,NA,NA
nZGZELj23OA,GTA V! A vila dos pelados,2014-08-09T20:07:50Z,Muita zueira!!!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,194,7,0,2,https://www.youtube.com/watch?v=nZGZELj23OA,655.13,-0.07244652953315993,-7189,-4197,-2650,-1760,-1207,-840,-572,-357,-169,9,186,376,594,867,1243,1805,2701,4221,7137,9,-0.07722981870209587
g_A7VCYBoW0,Minecraft! Ep 8,2014-08-17T15:16:04Z,A continuação da série!!!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,26,4,0,NA,https://www.youtube.com/watch?v=g_A7VCYBoW0,611.06,0.04551654300258784,-5838,-3086,-1814,-1226,-897,-663,-473,-310,-155,-6,138,294,457,643,874,1200,1778,3084,5970,NA,NA
mrxOfwJjIpI,GTA V! O roubo do jato XD,2014-08-23T17:26:01Z,Escrevão nos comentarios se gostarem da edição,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,80,3,0,NA,https://www.youtube.com/watch?v=mrxOfwJjIpI,826.51,0.0307600393783353,-4063,-2203,-1347,-900,-637,-459,-321,-204,-98,0,98,203,321,459,638,902,1354,2237,4114,0,0.04267560039458996
QTK2BcKxFtA,Cumprindo desafio do balde de gelo!,2014-08-29T19:18:39Z,"Desafio para conscientização da doença ELA, aceito",UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,250,7,0,NA,https://www.youtube.com/watch?v=QTK2BcKxFtA,11.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDyC_xeWsAQ,Minecraft! Especial de uma hora!!!,2014-09-04T17:07:01Z,Este vídeo foi feito por termos chegado a 1.000 visualizações,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,37,5,0,NA,https://www.youtube.com/watch?v=GDyC_xeWsAQ,4664.78,-0.0019363660068004577,-910,-491,-297,-192,-135,-97,-68,-44,-22,0,21,43,68,96,134,193,301,500,919,0,-0.003345117373065934
Uj_5HxtWVMM,Vídeo zueira! Vejam a descrição,2014-09-04T22:18:58Z,Como descobrir se seu amigo é um assassino profissional!,UCD5VUiNxflMhmJgmh5TO14Q,Formiga Atômica,162,10,0,NA,https://www.youtube.com/watch?v=Uj_5HxtWVMM,25.03,0.34192400394162137,-3302,-1553,-1020,-758,-580,-437,-316,-203,-99,1,103,205,317,438,584,766,1031,1570,3268,NA,NA
